cycle,current_date,day_of_simulation,nb_susceptible,nb_exposed,nb_infectious_symptomatic,nb_infectious_asymptomatic,nb_recovered,nb_immune,nb_Qs,nb_Qa,nb_H,nb_D,nb_mask,nb_hand_wash,nb_social_distance,R0,infected_today,tot_infected,semaphore,hospitalized_today,tot_hosp,deaths_today,tot_deaths
0,date ('2020-05-23 00:00:00'),0,21115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.3,0,0,0,0
24,date ('2020-05-24 00:00:00'),1,21115,0,0,0,0,0,0,0,0,0,38,28,33,0.0,0,1,0.3,0,0,0,0
48,date ('2020-05-25 00:00:00'),2,21114,1,0,0,0,0,0,0,0,0,23,39,31,0.0,1,2,0.3,0,0,0,0
72,date ('2020-05-26 00:00:00'),3,21113,2,0,0,0,0,0,0,0,0,23,30,30,0.0,1,3,0.3,0,0,0,0
96,date ('2020-05-27 00:00:00'),4,21112,3,0,0,0,0,0,0,0,0,27,25,34,0.0,1,4,0.3,0,0,0,0
120,date ('2020-05-28 00:00:00'),5,21112,3,0,0,0,0,0,0,0,0,39,21,34,0.0,0,4,0.3,0,0,0,0
144,date ('2020-05-29 00:00:00'),6,21112,3,0,0,0,0,0,0,0,0,37,43,28,0.0,0,4,0.3,0,0,0,0
168,date ('2020-05-30 00:00:00'),7,21112,3,0,0,0,0,0,0,0,0,30,35,38,0.0,0,4,0.3,0,0,0,0
192,date ('2020-05-31 00:00:00'),8,21111,4,0,0,0,0,0,0,0,0,29,33,25,0.0,1,5,0.3,0,0,0,0
216,date ('2020-06-01 00:00:00'),9,21111,4,0,0,0,0,0,0,0,0,39,32,41,0.0,0,5,0.3,0,0,0,0
240,date ('2020-06-02 00:00:00'),10,21110,2,3,0,0,0,2,0,1,0,30,26,32,0.0,1,6,0.5,1,1,0,0
264,date ('2020-06-03 00:00:00'),11,21109,3,3,0,0,0,2,0,1,0,227,221,212,0.0,1,7,0.5,0,1,0,0
288,date ('2020-06-04 00:00:00'),12,21108,4,3,0,0,0,2,0,1,0,286,265,276,0.0,1,8,0.5,0,1,0,0
312,date ('2020-06-05 00:00:00'),13,21108,3,4,0,0,0,3,0,1,0,383,343,329,0.0,0,8,0.5,0,1,0,0
336,date ('2020-06-06 00:00:00'),14,21107,3,5,0,0,0,4,0,1,0,417,456,414,0.0,1,9,0.5,0,1,0,0
360,date ('2020-06-07 00:00:00'),15,21107,3,5,0,0,0,4,0,1,0,533,480,543,0.0,0,9,0.5,0,1,0,0
384,date ('2020-06-08 00:00:00'),16,21106,3,5,1,0,0,4,0,1,0,617,628,577,0.0,1,10,0.5,0,1,0,0
408,date ('2020-06-09 00:00:00'),17,21106,3,5,1,0,0,4,0,1,0,714,733,733,0.0,0,10,0.5,0,1,0,0
432,date ('2020-06-10 00:00:00'),18,21105,4,5,1,0,0,4,0,1,0,774,810,867,0.0,1,11,0.5,0,1,0,0
456,date ('2020-06-11 00:00:00'),19,21105,4,4,1,0,1,3,0,1,0,935,872,891,0.0,0,11,0.5,0,1,0,0
480,date ('2020-06-12 00:00:00'),20,21105,4,4,1,0,1,3,0,1,0,1009,1020,1035,0.0,0,11,0.5,0,1,0,0
504,date ('2020-06-13 00:00:00'),21,21104,4,5,1,0,1,4,0,1,0,1080,1112,1133,0.0,1,12,0.5,0,1,0,0
528,date ('2020-06-14 00:00:00'),22,21103,4,6,1,0,1,4,0,1,0,1190,1277,1213,0.0,1,13,0.5,0,1,0,0
552,date ('2020-06-15 00:00:00'),23,21103,3,6,1,0,2,4,0,1,0,1338,1255,1310,0.0,0,13,0.5,0,1,0,0
576,date ('2020-06-16 00:00:00'),24,21103,3,6,1,0,2,4,0,1,0,1328,1352,1286,0.0,0,13,0.5,0,1,0,0
600,date ('2020-06-17 00:00:00'),25,21103,1,7,2,0,2,5,0,1,0,1377,1382,1380,0.0,0,13,0.5,0,1,0,0
624,date ('2020-06-18 00:00:00'),26,21102,2,6,2,0,3,4,0,1,0,1407,1464,1414,0.0,1,14,0.5,0,1,0,0
648,date ('2020-06-19 00:00:00'),27,21102,2,6,2,0,3,4,0,1,0,1511,1477,1413,0.0,0,14,0.5,0,1,0,0
672,date ('2020-06-20 00:00:00'),28,21101,2,6,2,0,4,5,0,0,0,1470,1558,1565,0.0,1,15,0.3,0,1,0,0
696,date ('2020-06-21 00:00:00'),29,21101,1,7,2,0,4,6,0,0,0,250,245,277,0.0,0,15,0.3,0,1,0,0
720,date ('2020-06-22 00:00:00'),30,21101,1,7,2,0,4,6,0,0,0,37,53,51,0.0,0,15,0.3,0,1,0,0
744,date ('2020-06-23 00:00:00'),31,21101,1,7,2,0,4,6,0,0,0,29,32,28,0.0,0,15,0.3,0,1,0,0
768,date ('2020-06-24 00:00:00'),32,21100,2,7,2,0,4,6,0,0,0,34,40,34,0.0,1,16,0.3,0,1,0,0
792,date ('2020-06-25 00:00:00'),33,21099,2,7,2,0,5,6,1,0,0,42,29,39,0.0,1,17,0.3,0,1,0,0
816,date ('2020-06-26 00:00:00'),34,21098,3,7,2,0,5,6,1,0,0,33,33,45,0.0,1,18,0.3,0,1,0,0
840,date ('2020-06-27 00:00:00'),35,21097,3,7,2,0,6,6,1,0,0,43,25,39,0.0,1,19,0.3,0,1,0,0
864,date ('2020-06-28 00:00:00'),36,21097,3,7,1,0,7,6,1,0,0,38,29,30,0.0,0,19,0.3,0,1,0,0
888,date ('2020-06-29 00:00:00'),37,21096,4,7,1,0,7,6,1,0,0,37,37,30,0.0,1,20,0.3,0,1,0,0
912,date ('2020-06-30 00:00:00'),38,21095,5,7,1,0,7,6,1,0,0,21,28,28,0.0,1,21,0.3,0,1,0,0
936,date ('2020-07-01 00:00:00'),39,21094,5,8,1,0,7,6,1,0,0,31,42,36,0.0,1,22,0.3,0,1,0,0
960,date ('2020-07-02 00:00:00'),40,21094,5,7,1,0,8,5,1,0,0,38,33,28,0.0,0,22,0.3,0,1,0,0
984,date ('2020-07-03 00:00:00'),41,21094,3,9,1,0,8,6,1,1,0,40,26,35,0.0,0,22,0.5,1,2,0,0
1008,date ('2020-07-04 00:00:00'),42,21094,2,9,1,0,9,6,1,1,0,211,235,220,0.0,0,22,0.5,0,2,0,0
1032,date ('2020-07-05 00:00:00'),43,21094,2,8,1,0,10,6,1,1,0,268,274,269,0.0,0,22,0.5,0,2,0,0
1056,date ('2020-07-06 00:00:00'),44,21094,0,10,1,0,10,7,1,1,0,356,354,362,0.0,0,22,0.5,0,2,0,0
1080,date ('2020-07-07 00:00:00'),45,21093,1,9,1,0,11,6,1,1,0,430,438,427,0.0,1,23,0.5,0,2,0,0
1104,date ('2020-07-08 00:00:00'),46,21093,1,8,1,0,12,5,1,1,0,484,562,497,0.0,0,23,0.5,0,2,0,0
1128,date ('2020-07-09 00:00:00'),47,21093,1,8,1,0,12,5,1,1,0,627,591,570,0.0,0,23,0.5,0,2,0,0
1152,date ('2020-07-10 00:00:00'),48,21092,2,8,1,0,12,5,1,1,0,717,705,684,0.0,1,24,0.5,0,2,0,0
1176,date ('2020-07-11 00:00:00'),49,21092,2,8,1,0,12,5,1,1,0,824,843,813,0.0,0,24,0.5,0,2,0,0
1200,date ('2020-07-12 00:00:00'),50,21091,3,7,0,0,14,4,0,1,0,924,906,976,0.0,1,25,0.5,0,2,0,0
1224,date ('2020-07-13 00:00:00'),51,21090,3,7,0,0,15,4,0,1,0,1052,1025,1014,0.0,1,26,0.5,0,2,0,0
1248,date ('2020-07-14 00:00:00'),52,21089,3,8,0,0,15,5,0,1,0,1152,1138,1086,0.0,1,27,0.5,0,2,0,0
1272,date ('2020-07-15 00:00:00'),53,21088,4,7,0,0,16,4,0,1,0,1151,1167,1149,0.0,1,28,0.5,0,2,0,0
1296,date ('2020-07-16 00:00:00'),54,21088,4,7,0,0,16,4,0,1,0,1235,1305,1293,0.0,0,28,0.5,0,2,0,0
1320,date ('2020-07-17 00:00:00'),55,21088,4,7,0,0,16,4,0,1,0,1345,1380,1346,0.0,0,28,0.5,0,2,0,0
1344,date ('2020-07-18 00:00:00'),56,21088,2,7,1,0,17,4,0,1,0,1433,1510,1417,0.0,0,28,0.5,0,2,0,0
1368,date ('2020-07-19 00:00:00'),57,21087,2,8,1,0,17,4,0,1,0,1489,1450,1463,0.0,1,29,0.5,0,2,0,0
1392,date ('2020-07-20 00:00:00'),58,21087,2,8,1,0,17,4,0,1,0,1529,1540,1535,0.0,0,29,0.5,0,2,0,0
1416,date ('2020-07-21 00:00:00'),59,21086,1,8,3,0,17,4,0,1,0,1483,1554,1446,0.0,1,30,0.5,0,2,0,0
1440,date ('2020-07-22 00:00:00'),60,21086,1,7,3,0,18,4,0,0,0,1527,1577,1642,0.0,0,30,0.3,0,2,0,0
1464,date ('2020-07-23 00:00:00'),61,21085,2,7,3,0,18,4,0,0,0,287,282,252,0.0,1,31,0.3,0,2,0,0
1488,date ('2020-07-24 00:00:00'),62,21085,1,8,3,0,18,5,0,0,0,47,44,50,0.0,0,31,0.3,0,2,0,0
1512,date ('2020-07-25 00:00:00'),63,21085,1,8,3,0,18,5,0,0,0,26,24,35,0.0,0,31,0.3,0,2,0,0
1536,date ('2020-07-26 00:00:00'),64,21084,2,8,2,0,19,5,0,0,0,26,45,30,0.0,1,32,0.3,0,2,0,0
1560,date ('2020-07-27 00:00:00'),65,21084,2,7,2,0,20,4,0,0,0,39,31,30,0.0,0,32,0.3,0,2,0,0
1584,date ('2020-07-28 00:00:00'),66,21084,2,7,2,0,20,4,0,0,0,37,32,28,0.0,0,32,0.3,0,2,0,0
1608,date ('2020-07-29 00:00:00'),67,21083,2,8,2,0,20,4,0,1,0,37,31,29,0.0,1,33,0.5,1,3,0,0
1632,date ('2020-07-30 00:00:00'),68,21083,1,8,2,0,21,4,0,1,0,198,231,215,0.0,0,33,0.5,0,3,0,0
1656,date ('2020-07-31 00:00:00'),69,21083,0,9,2,0,21,4,0,1,0,272,273,309,0.0,0,33,0.5,0,3,0,0
