cycle,current_date,day_of_simulation,nb_susceptible,nb_exposed,nb_infectious_symptomatic,nb_infectious_asymptomatic,nb_recovered,nb_immune,nb_Qs,nb_Qa,nb_H,nb_D,nb_mask,nb_hand_wash,nb_social_distance,R0,infected_today,tot_infected,semaphore
0,date ('2020-05-23 00:00:00'),0,21115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.3
24,date ('2020-05-24 00:00:00'),1,21114,1,0,0,0,0,0,0,0,0,27,25,33,0.0,1,2,0.3
48,date ('2020-05-25 00:00:00'),2,21114,1,0,0,0,0,0,0,0,0,27,34,25,0.0,0,2,0.3
72,date ('2020-05-26 00:00:00'),3,21113,2,0,0,0,0,0,0,0,0,44,35,22,0.0,1,3,0.3
96,date ('2020-05-27 00:00:00'),4,21113,2,0,0,0,0,0,0,0,0,37,31,35,0.0,0,3,0.3
120,date ('2020-05-28 00:00:00'),5,21112,3,0,0,0,0,0,0,0,0,29,29,32,0.0,1,4,0.3
144,date ('2020-05-29 00:00:00'),6,21112,3,0,0,0,0,0,0,0,0,34,36,36,0.0,0,4,0.3
168,date ('2020-05-30 00:00:00'),7,21112,3,0,0,0,0,0,0,0,0,33,31,39,0.0,0,4,0.3
192,date ('2020-05-31 00:00:00'),8,21111,4,0,0,0,0,0,0,0,0,30,31,28,0.0,1,5,0.3
216,date ('2020-06-01 00:00:00'),9,21111,2,2,0,0,0,1,0,0,0,41,40,33,0.0,0,5,0.3
240,date ('2020-06-02 00:00:00'),10,21110,2,3,0,0,0,2,0,0,0,37,32,29,0.0,1,6,0.3
264,date ('2020-06-03 00:00:00'),11,21110,1,4,0,0,0,2,0,0,0,31,38,31,0.0,0,6,0.3
288,date ('2020-06-04 00:00:00'),12,21109,2,4,0,0,0,2,0,0,0,37,26,32,0.0,1,7,0.3
312,date ('2020-06-05 00:00:00'),13,21109,2,4,0,0,0,2,0,0,0,37,32,40,0.0,0,7,0.3
336,date ('2020-06-06 00:00:00'),14,21108,3,4,0,0,0,2,0,0,0,27,33,38,0.0,1,8,0.3
360,date ('2020-06-07 00:00:00'),15,21107,4,4,0,0,0,2,0,0,0,37,27,25,0.0,1,9,0.3
384,date ('2020-06-08 00:00:00'),16,21107,4,4,0,0,0,2,0,0,0,30,35,34,0.0,0,9,0.3
408,date ('2020-06-09 00:00:00'),17,21106,5,4,0,0,0,2,0,0,0,33,28,24,0.0,1,10,0.3
432,date ('2020-06-10 00:00:00'),18,21105,5,4,1,0,0,2,0,0,0,30,19,37,0.0,1,11,0.3
456,date ('2020-06-11 00:00:00'),19,21105,5,4,1,0,0,2,0,0,0,41,40,30,0.0,0,11,0.3
480,date ('2020-06-12 00:00:00'),20,21104,5,3,2,0,1,2,0,0,0,26,41,40,0.0,1,12,0.3
504,date ('2020-06-13 00:00:00'),21,21103,5,4,2,0,1,2,0,0,0,25,24,33,0.0,1,13,0.3
528,date ('2020-06-14 00:00:00'),22,21103,2,7,2,0,1,4,0,0,0,20,30,28,0.0,0,13,0.3
552,date ('2020-06-15 00:00:00'),23,21102,2,8,2,0,1,5,0,0,0,25,30,43,0.0,1,14,0.3
576,date ('2020-06-16 00:00:00'),24,21101,3,8,2,0,1,5,0,0,0,27,36,36,0.0,1,15,0.3
600,date ('2020-06-17 00:00:00'),25,21100,4,8,2,0,1,5,0,0,0,45,33,29,0.0,1,16,0.3
624,date ('2020-06-18 00:00:00'),26,21100,3,9,2,0,1,5,0,0,0,35,25,29,0.0,0,16,0.3
648,date ('2020-06-19 00:00:00'),27,21098,5,9,2,0,1,5,0,0,0,34,44,31,0.0,2,18,0.3
672,date ('2020-06-20 00:00:00'),28,21097,6,9,2,0,1,5,0,0,0,45,42,34,0.0,1,19,0.3
696,date ('2020-06-21 00:00:00'),29,21096,7,9,2,0,1,5,0,0,0,31,30,24,0.0,1,20,0.3
720,date ('2020-06-22 00:00:00'),30,21094,6,12,2,0,1,6,0,0,0,30,30,28,0.0,2,22,0.3
744,date ('2020-06-23 00:00:00'),31,21093,6,13,2,0,1,7,0,0,0,27,22,31,0.0,1,23,0.3
768,date ('2020-06-24 00:00:00'),32,21092,5,15,2,0,1,8,0,0,0,29,32,30,0.0,1,24,0.3
792,date ('2020-06-25 00:00:00'),33,21092,4,16,2,0,1,8,0,0,0,31,33,39,0.0,0,24,0.3
816,date ('2020-06-26 00:00:00'),34,21091,5,16,1,0,2,8,0,0,0,32,37,35,0.0,1,25,0.3
840,date ('2020-06-27 00:00:00'),35,21090,6,15,1,0,3,8,0,0,0,34,39,30,0.0,1,26,0.3
864,date ('2020-06-28 00:00:00'),36,21090,5,16,0,0,4,8,0,0,0,19,26,39,0.0,0,26,0.3
888,date ('2020-06-29 00:00:00'),37,21089,5,16,0,0,5,8,0,0,0,28,25,32,0.0,1,27,0.3
912,date ('2020-06-30 00:00:00'),38,21089,5,15,0,0,6,8,0,0,0,39,24,34,0.0,0,27,0.3
936,date ('2020-07-01 00:00:00'),39,21089,2,18,0,0,6,11,0,0,0,36,51,34,0.0,0,27,0.3
960,date ('2020-07-02 00:00:00'),40,21089,2,16,0,0,8,10,0,0,0,25,30,26,0.0,0,27,0.3
984,date ('2020-07-03 00:00:00'),41,21089,1,17,0,0,8,11,0,0,0,27,39,41,0.0,0,27,0.3
1008,date ('2020-07-04 00:00:00'),42,21089,0,17,0,0,9,12,0,0,0,35,28,24,0.0,0,27,0.3
1032,date ('2020-07-05 00:00:00'),43,21089,0,16,0,0,10,12,0,0,0,30,34,39,0.0,0,27,0.3
1056,date ('2020-07-06 00:00:00'),44,21088,1,16,0,0,10,12,0,0,0,33,22,28,0.0,1,28,0.3
1080,date ('2020-07-07 00:00:00'),45,21087,1,17,0,0,10,12,0,1,0,38,41,39,0.0,1,29,0.3
1104,date ('2020-07-08 00:00:00'),46,21086,2,17,0,0,10,12,0,1,0,56,41,47,0.0,1,30,0.3
1128,date ('2020-07-09 00:00:00'),47,21085,3,17,0,0,10,12,0,1,0,61,52,56,0.0,1,31,0.3
1152,date ('2020-07-10 00:00:00'),48,21085,3,17,0,0,10,12,0,1,0,50,50,61,0.0,0,31,0.3
1176,date ('2020-07-11 00:00:00'),49,21085,1,18,0,0,11,13,0,1,0,43,55,56,0.0,0,31,0.3
1200,date ('2020-07-12 00:00:00'),50,21084,2,18,0,0,11,13,0,1,0,40,52,53,0.0,1,32,0.3
1224,date ('2020-07-13 00:00:00'),51,21083,3,17,0,0,12,13,0,1,0,38,33,40,0.0,1,33,0.3
1248,date ('2020-07-14 00:00:00'),52,21082,4,17,0,0,12,13,0,1,0,42,57,70,0.0,1,34,0.3
1272,date ('2020-07-15 00:00:00'),53,21081,4,18,0,0,12,14,0,1,0,34,43,53,0.0,1,35,0.3
1296,date ('2020-07-16 00:00:00'),54,21080,4,18,0,0,13,15,0,1,0,61,48,52,0.0,1,36,0.3
1320,date ('2020-07-17 00:00:00'),55,21079,5,17,0,0,14,14,0,1,0,50,44,52,0.0,1,37,0.3
1344,date ('2020-07-18 00:00:00'),56,21078,5,18,0,0,14,15,0,1,0,34,49,36,0.0,1,38,0.3
1368,date ('2020-07-19 00:00:00'),57,21078,3,17,0,0,17,13,0,1,0,60,60,45,0.0,0,38,0.3
1392,date ('2020-07-20 00:00:00'),58,21077,4,16,0,0,18,12,0,1,0,51,47,49,0.0,1,39,0.3
1416,date ('2020-07-21 00:00:00'),59,21077,4,15,0,0,19,11,0,1,0,58,55,60,0.0,0,39,0.3
